BenchmarkAddInsertRow/fields=100-8               	  873513	      1230 ns/op	     394 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=100-8               	  913162	      1184 ns/op	       0 B/op	       0 allocs/op
BenchmarkAddInsertRow/fields=100-8               	  835298	      1244 ns/op	     412 B/op	       0 allocs/op
BenchmarkNewLogMessageProcessor-8                	 2579293	       473.6 ns/op	     464 B/op	       8 allocs/op
BenchmarkNewLogMessageProcessor-8                	 2625769	       459.1 ns/op	     464 B/op	       8 allocs/op
BenchmarkNewLogMessageProcessor-8                	 2621167	       459.4 ns/op	     464 B/op	       8 allocs/op
BenchmarkNewLogMessageProcessor-8                	 2588876	       460.5 ns/op	     464 B/op	       8 allocs/op
BenchmarkNewLogMessageProcessor-8                	 2569620	       459.4 ns/op	     464 B/op	       8 allocs/op
BenchmarkNewLogMessageProcessor-8                	 2564715	       467.6 ns/op	     464 B/op	       8 allocs/op
BenchmarkNewLogMessageProcessor-8                	 2610108	       461.2 ns/op	     464 B/op	       8 allocs/op
BenchmarkNewLogMessageProcessor-8                	 2657335	       450.3 ns/op	     464 B/op	       8 allocs/op
BenchmarkNewLogMessageProcessor-8                	 2666629	       450.8 ns/op	     464 B/op	       8 allocs/op
BenchmarkNewLogMessageProcessor-8                	 2611671	       451.3 ns/op	     464 B/op	       8 allocs/op
